DDCTransactionIdB6A369D54FC24C6587BCE1B6C2963023_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__7305C0EAF30EBAE6EBBBE09D23B9982D28009564, StartTime=2016.02.05-11.39.13, HierarchicalDDC, DataSize=3015881 bytes, Retrieved=true, Duration=0.468750ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionId7378AB3D440B77E6CD62BA874E3015C2_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.02.05-11.39.17, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.036635ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionId7378AB3D440B77E6CD62BA874E3015C2_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.02.05-11.39.17, HierarchicalDDC, Duration=0.033934ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdDA6F87BA4312DB4DBD0191AA2BBECFD6_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2016.02.05-11.39.17, HierarchicalDDC, DataSize=22958 bytes, Retrieved=true, Duration=0.172969ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdDA6F87BA4312DB4DBD0191AA2BBECFD6_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2016.02.05-11.39.17, HierarchicalDDC, Duration=0.012014ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdDA6F87BA4312DB4DBD0191AA2BBECFD6_2, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2016.02.05-11.39.17, HierarchicalDDC, Duration=0.010811ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdB091A3594E45251A8EA6349410D384EF_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.02.05-11.39.17, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.036936ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdB091A3594E45251A8EA6349410D384EF_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.02.05-11.39.17, HierarchicalDDC, Duration=0.013214ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionId7378AB3D440B77E6CD62BA874E3015C2_2, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_89A4A1B64CC9699371EF9AABCB127__761A5490E51E8BC304AADFB493900B1523AD09CF, StartTime=2016.02.05-11.39.17, HierarchicalDDC, DataSize=3270 bytes, Retrieved=true, Duration=0.032432ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdDA6F87BA4312DB4DBD0191AA2BBECFD6_3, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__E54ACD4270C98C672E017FC37F0607C2A873A36F, StartTime=2016.02.05-11.39.17, HierarchicalDDC, DataSize=3565 bytes, Retrieved=true, Duration=0.030927ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdDA6F87BA4312DB4DBD0191AA2BBECFD6_4, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__93D16C78FFABBF25A8FB7F44F21B69B0390FF3A3, StartTime=2016.02.05-11.39.17, HierarchicalDDC, Duration=0.011109ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
DDCTransactionIdB6A369D54FC24C6587BCE1B6C2963023_1, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_CA__2D8B2483DC0CF9D0E3709FFF081377CAF394F574, StartTime=2016.02.05-11.39.17, HierarchicalDDC, DataSize=1817 bytes, Retrieved=true, Duration=0.028830ms, RunGuid=RunIDB708D20F4345DD380C2DE1BA6FF46055
